Route,Name,Grade,FA,Country,Area,Date
Entropia,Alberto Rocasolano,15,,Spain,Castillo de Bayuela,
Entropia,Ignacio Mulero,15,,Spain,Castillo de Bayuela,
Entropia,Nacho Sanchez,15,FA,Spain,Castillo de Bayuela,
Entropia,Jesús Muñoz Vaquero,15,,Spain,Castillo de bayuela,12/10/2021
Ephyra,Giuliano Cameroni,16,,Switzerland,Ticino,03/16/2021
Ephyra,James Webb,16,FA,Switzerland,Ticino,03/29/2019
Ephyra,Niky Ceria,16,,Switzerland,Ticino,11/19/2020
Epitaph,Dai Koyamada,15,FA,Japan,Hourai,
Epitaph,Ryuichi Murai,15,,Japan,Hourai,03/29/2017
Equanimity,Carlo Traversi,15,FA,United States,Tahoe,11/3/2020
Eskerrik Asko,Markel Mendieta,15,FA,Spain,Araotz,
Eternal,Dai Koyamada,15,FA,Japan,Hinokage,
Eternal,kazuma watanabe,15,,Japan,Hinokage,4/10/2015
Eternal Sunshine,Jongwon Chon,15,FA,South Korea,Mudeungsan National Park,
Eterno Legado,Alberto Rocasolano,15,FA,Spain,Hoya Moros,
Everything Gneiss,Matt Fultz,15,,United States,Clear Creek Canyon,05/03/2020
"Expanse, The",Matt Fultz,15,FA,United States,Joe's Valley,
Exradiin,Si O'Conor,15,FA,Unknown,Cire Lagan,12/19/2003
Extrasystole,elias iagnemma,15,FA,Italy,Poggio umbricchio,01/20/2021
"Finnish Line, The",Daniel Woods,15,,South Africa,Rocklands,6/28/2018
"Finnish Line, The",Giuliano Cameroni,15,,South Africa,Rocklands,09/05/2019
"Finnish Line, The",James Webb,15,,South Africa,Rocklands,06/29/2019
"Finnish Line, The",Toby Saxton,15,,South Africa,Rocklands,9/19/2017
"Finnish Line, The",Vadim Timonov,15,,South Africa,Rocklands,7/5/2021
"Finnish Line, The",Alex Megos,15,,South Africa,Rocklands,
"Finnish Line, The",Daisuke Ichimiya,15,,South Africa,Rocklands,
"Finnish Line, The",Nalle Hukkataival,15,FA,South Africa,Rocklands,
"Finnish Line, The",Shawn Raboutou,15,,South Africa,Rocklands,
Floatin,Ryuichi Murai,16,FA,Japan,Mizugaki,12/09/2021
Focus failed,Vadim Timonov,15,FA,Russia,Djan-tugan,10/26/2020
Force,Camil Courdet,16,FA,France,Fontainebleau,05/01/2019
Force,Coudert Camille,16,,France,Fontainebleau,5/7/2019
Force,killian chabrier,16,,France,Fontainebleau,04/06/2021
FORCE OBSCURE,Coudert Camille,15,FA,France,Fontainebleau,07/04/2020
FORCE OBSCURE,killian chabrier,15,,France,Fontainebleau,4/21/2021
"Force Tranquille, (direct)",Jakob Schubert,15,FA,Switzerland,Magic Wood,11/01/2020
"Force Tranquille, La",Daniel Woods,15,FA,Switzerland,Magic Wood,10/15/2011
"Force Tranquille, La",Giuliano Cameroni,15,,Switzerland,Magic Wood,06/19/2021
"Force Tranquille, La",Daniel Woods,15,FA,Switzerland,Magic Wood,
"Force Tranquille, La",Giuliano Cameroni,15,,Switzerland,Magic Wood,06/01/2021
"Force Tranquille, La",Nalle Hukkataival,15,,Switzerland,Magic Wood,
Fortaleza,Felipe Camargo,15,FA,Brazil,Ubatuba,
Foundation's Edge,Shawn Raboutou,15,,Switzerland,Fionnay,
Foundation's Edge,Clément Lechaptois,15,,Switzerland,Fionnay,10/23/2019
Foundation's Edge,Dave Graham,15,FA,Switzerland,Fionnay,10/15/2013
Foundation's Edge,Dylan Chuat,15,,Switzerland,Fionnay,07/04/2020
Foundation's Edge,Teo Genecand,15,,Switzerland,Fionnay,10/01/2020
Foundation's Edge,Tim Reuser,15,,Switzerland,Fionnay,09/03/2020
Foundation's Edge,William Bosi,15,,Switzerland,Fionnay,09/23/2021
From Dirt Grows the Flowers,Bernd Zangerl,15,,Switzerland,Ticino,
From Dirt Grows the Flowers,Kilian Fischhuber,15,,Switzerland,Ticino,
From Dirt Grows the Flowers,Nalle Hukkataival,15,,Switzerland,Ticino,
From Dirt Grows the Flowers,Radovan Soucek,15,,Switzerland,Ticino,
From Dirt Grows the Flowers,Paul Robinson,15,,Switzerland,Ticino,12/12/2010
From Dirt Grows the Flowers,Adam Ondra,15,,Switzerland,Ticino,11/30/2010
From Dirt Grows the Flowers,Alexey Rubtsov,15,,Switzerland,Ticino,01/09/2017
